Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,923.8567704420824,923.8567704420824,923.8567704420824,923.8567704420824,923.8567704420824,2023-11-16,0,0,0,0,0,0
,911.6075526979567,911.6075526979567,911.6075526979567,911.6075526979567,911.6075526979567,2023-11-17,0,0,0,0,0,0
,907.1309619231906,907.1309619231906,907.1309619231906,907.1309619231906,907.1309619231906,2023-11-20,0,0,0,0,0,0
,909.4922588007952,909.4922588007952,909.4922588007952,909.4922588007952,909.4922588007952,2023-11-21,0,0,0,0,0,0
,908.3607719626024,908.3607719626024,908.3607719626024,908.3607719626024,908.3607719626024,2023-11-22,0,0,0,0,0,0
,908.1148071289062,908.1148071289062,908.1148071289062,908.1148071289062,908.1148071289062,2023-11-23,0,0,0,0,0,0
,906.639000110985,906.639000110985,906.639000110985,906.639000110985,906.639000110985,2023-11-24,0,0,0,0,0,0
,913.9197163754528,913.9197163754528,913.9197163754528,913.9197163754528,913.9197163754528,2023-11-28,0,0,0,0,0,0
,915.8874351292822,915.8874351292822,915.8874351292822,915.8874351292822,915.8874351292822,2023-11-29,0,0,0,0,0,0
,923.8076235957444,923.8076235957444,923.8076235957444,923.8076235957444,923.8076235957444,2023-11-30,0,0,0,0,0,0
