Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,2877.2863747995616,2877.2863747995616,2877.2863747995616,2877.2863747995616,2877.2863747995616,2023-09-20,0,0,0,0,0,0
,2836.097375315198,2836.097375315198,2836.097375315198,2836.097375315198,2836.097375315198,2023-09-21,0,0,0,0,0,0
,2859.3462152141647,2859.3462152141647,2859.3462152141647,2859.3462152141647,2859.3462152141647,2023-09-22,0,0,0,0,0,0
,2868.439267018743,2868.439267018743,2868.439267018743,2868.439267018743,2868.439267018743,2023-09-25,0,0,0,0,0,0
,2865.5394849287145,2865.5394849287145,2865.5394849287145,2865.5394849287145,2865.5394849287145,2023-09-26,0,0,0,0,0,0
,2872.42040141311,2872.42040141311,2872.42040141311,2872.42040141311,2872.42040141311,2023-09-27,0,0,0,0,0,0
,2938.283567632631,2938.283567632631,2938.283567632631,2938.283567632631,2938.283567632631,2023-09-28,0,0,0,0,0,0
,2988.418393016862,2988.418393016862,2988.418393016862,2988.418393016862,2988.418393016862,2023-09-29,0,0,0,0,0,0
,2988.909937748808,2988.909937748808,2988.909937748808,2988.909937748808,2988.909937748808,2023-10-03,0,0,0,0,0,0
,3012.109542900896,3012.109542900896,3012.109542900896,3012.109542900896,3012.109542900896,2023-10-04,0,0,0,0,0,0
,2981.0947801948587,2981.0947801948587,2981.0947801948587,2981.0947801948587,2981.0947801948587,2023-10-05,0,0,0,0,0,0
,3062.0967138048354,3062.0967138048354,3062.0967138048354,3062.0967138048354,3062.0967138048354,2023-10-06,0,0,0,0,0,0
,3022.8242545579947,3022.8242545579947,3022.8242545579947,3022.8242545579947,3022.8242545579947,2023-10-09,0,0,0,0,0,0
,3021.694193558358,3021.694193558358,3021.694193558358,3021.694193558358,3021.694193558358,2023-10-10,0,0,0,0,0,0
,3037.5699822508573,3037.5699822508573,3037.5699822508573,3037.5699822508573,3037.5699822508573,2023-10-11,0,0,0,0,0,0
,3041.502107289892,3041.502107289892,3041.502107289892,3041.502107289892,3041.502107289892,2023-10-12,0,0,0,0,0,0
,3015.6974055792325,3015.6974055792325,3015.6974055792325,3015.6974055792325,3015.6974055792325,2023-10-13,0,0,0,0,0,0
,3046.3681688631154,3046.3681688631154,3046.3681688631154,3046.3681688631154,3046.3681688631154,2023-10-16,0,0,0,0,0,0
,3057.1322843100943,3057.1322843100943,3057.1322843100943,3057.1322843100943,3057.1322843100943,2023-10-17,0,0,0,0,0,0
,3016.5820428973298,3016.5820428973298,3016.5820428973298,3016.5820428973298,3016.5820428973298,2023-10-18,0,0,0,0,0,0
,2974.262834354896,2974.262834354896,2974.262834354896,2974.262834354896,2974.262834354896,2023-10-19,0,0,0,0,0,0
,2988.369097261428,2988.369097261428,2988.369097261428,2988.369097261428,2988.369097261428,2023-10-20,0,0,0,0,0,0
,2952.046235692957,2952.046235692957,2952.046235692957,2952.046235692957,2952.046235692957,2023-10-23,0,0,0,0,0,0
