Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,1232.3787090583842,1232.3787090583842,1232.3787090583842,1232.3787090583842,1232.3787090583842,2023-09-12,0,0,0,0,0,0
,1211.0365644667,1211.0365644667,1211.0365644667,1211.0365644667,1211.0365644667,2023-09-13,0,0,0,0,0,0
,1220.9630582690309,1220.9630582690309,1220.9630582690309,1220.9630582690309,1220.9630582690309,2023-09-14,0,0,0,0,0,0
,1224.9337835939812,1224.9337835939812,1224.9337835939812,1224.9337835939812,1224.9337835939812,2023-09-15,0,0,0,0,0,0
,1211.061482045193,1211.061482045193,1211.061482045193,1211.061482045193,1211.061482045193,2023-09-18,0,0,0,0,0,0
,1202.623798606989,1202.623798606989,1202.623798606989,1202.623798606989,1202.623798606989,2023-09-20,0,0,0,0,0,0
,1178.750555955457,1178.750555955457,1178.750555955457,1178.750555955457,1178.750555955457,2023-09-21,0,0,0,0,0,0
,1179.2717940052096,1179.2717940052096,1179.2717940052096,1179.2717940052096,1179.2717940052096,2023-09-22,0,0,0,0,0,0
,1166.5657437194718,1166.5657437194718,1166.5657437194718,1166.5657437194718,1166.5657437194718,2023-09-25,0,0,0,0,0,0
,1160.684188171601,1160.684188171601,1160.684188171601,1160.684188171601,1160.684188171601,2023-09-26,0,0,0,0,0,0
,1163.1410372849095,1163.1410372849095,1163.1410372849095,1163.1410372849095,1163.1410372849095,2023-09-27,0,0,0,0,0,0
,1182.7459002555731,1182.7459002555731,1182.7459002555731,1182.7459002555731,1182.7459002555731,2023-09-28,0,0,0,0,0,0
,1162.2973995824232,1162.2973995824232,1162.2973995824232,1162.2973995824232,1162.2973995824232,2023-09-29,0,0,0,0,0,0
,1156.415758225436,1156.415758225436,1156.415758225436,1156.415758225436,1156.415758225436,2023-10-03,0,0,0,0,0,0
,1146.0178196869251,1146.0178196869251,1146.0178196869251,1146.0178196869251,1146.0178196869251,2023-10-04,0,0,0,0,0,0
,1151.105104982258,1151.105104982258,1151.105104982258,1151.105104982258,1151.105104982258,2023-10-05,0,0,0,0,0,0
,1150.0132553057874,1150.0132553057874,1150.0132553057874,1150.0132553057874,1150.0132553057874,2023-10-06,0,0,0,0,0,0
,1145.5711149238573,1145.5711149238573,1145.5711149238573,1145.5711149238573,1145.5711149238573,2023-10-09,0,0,0,0,0,0
,1144.8018394410435,1144.8018394410435,1144.8018394410435,1144.8018394410435,1144.8018394410435,2023-10-10,0,0,0,0,0,0
,1148.722762099973,1148.722762099973,1148.722762099973,1148.722762099973,1148.722762099973,2023-10-11,0,0,0,0,0,0
,1163.3148210249558,1163.3148210249558,1163.3148210249558,1163.3148210249558,1163.3148210249558,2023-10-12,0,0,0,0,0,0
,1161.4040366702477,1161.4040366702477,1161.4040366702477,1161.4040366702477,1161.4040366702477,2023-10-13,0,0,0,0,0,0
,1163.885548402189,1163.885548402189,1163.885548402189,1163.885548402189,1163.885548402189,2023-10-16,0,0,0,0,0,0
,1169.3451452373686,1169.3451452373686,1169.3451452373686,1169.3451452373686,1169.3451452373686,2023-10-17,0,0,0,0,0,0
,1168.9729714451066,1168.9729714451066,1168.9729714451066,1168.9729714451066,1168.9729714451066,2023-10-18,0,0,0,0,0,0
,1147.5068298823098,1147.5068298823098,1147.5068298823098,1147.5068298823098,1147.5068298823098,2023-10-19,0,0,0,0,0,0
,1141.5508934053469,1141.5508934053469,1141.5508934053469,1141.5508934053469,1141.5508934053469,2023-10-20,0,0,0,0,0,0
,1136.5877075106362,1136.5877075106362,1136.5877075106362,1136.5877075106362,1136.5877075106362,2023-10-23,0,0,0,0,0,0
,1116.7593673158804,1116.7593673158804,1116.7593673158804,1116.7593673158804,1116.7593673158804,2023-10-25,0,0,0,0,0,0
,1117.230921778067,1117.230921778067,1117.230921778067,1117.230921778067,1117.230921778067,2023-10-26,0,0,0,0,0,0
,1111.7712909465938,1111.7712909465938,1111.7712909465938,1111.7712909465938,1111.7712909465938,2023-10-27,0,0,0,0,0,0
,1128.6463150337838,1128.6463150337838,1128.6463150337838,1128.6463150337838,1128.6463150337838,2023-10-30,0,0,0,0,0,0
,1155.448028104718,1155.448028104718,1155.448028104718,1155.448028104718,1155.448028104718,2023-10-31,0,0,0,0,0,0
,1136.1656826268284,1136.1656826268284,1136.1656826268284,1136.1656826268284,1136.1656826268284,2023-11-01,0,0,0,0,0,0
,1148.4746196953226,1148.4746196953226,1148.4746196953226,1148.4746196953226,1148.4746196953226,2023-11-02,0,0,0,0,0,0
,1155.0509397455935,1155.0509397455935,1155.0509397455935,1155.0509397455935,1155.0509397455935,2023-11-03,0,0,0,0,0,0
,1157.5822297180116,1157.5822297180116,1157.5822297180116,1157.5822297180116,1157.5822297180116,2023-11-06,0,0,0,0,0,0
,1158.4507493206686,1158.4507493206686,1158.4507493206686,1158.4507493206686,1158.4507493206686,2023-11-07,0,0,0,0,0,0
