Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,919.5639303932444,919.5639303932444,919.5639303932444,919.5639303932444,919.5639303932444,2023-06-01,0,0,0,0,0,0
,920.212240304744,920.212240304744,920.212240304744,920.212240304744,920.212240304744,2023-06-02,0,0,0,0,0,0
,925.1490774704516,925.1490774704516,925.1490774704516,925.1490774704516,925.1490774704516,2023-06-05,0,0,0,0,0,0
,948.5869905944752,948.5869905944752,948.5869905944752,948.5869905944752,948.5869905944752,2023-06-06,0,0,0,0,0,0
,970.3793637455271,970.3793637455271,970.3793637455271,970.3793637455271,970.3793637455271,2023-06-07,0,0,0,0,0,0
,970.4790025315168,970.4790025315168,970.4790025315168,970.4790025315168,970.4790025315168,2023-06-08,0,0,0,0,0,0
,964.4450372391158,964.4450372391158,964.4450372391158,964.4450372391158,964.4450372391158,2023-06-09,0,0,0,0,0,0
,970.4291959930816,970.4291959930816,970.4291959930816,970.4291959930816,970.4291959930816,2023-06-12,0,0,0,0,0,0
,971.7257679465994,971.7257679465994,971.7257679465994,971.7257679465994,971.7257679465994,2023-06-13,0,0,0,0,0,0
,983.3948796018038,983.3948796018038,983.3948796018038,983.3948796018038,983.3948796018038,2023-06-14,0,0,0,0,0,0
,985.7385346742471,985.7385346742471,985.7385346742471,985.7385346742471,985.7385346742471,2023-06-15,0,0,0,0,0,0
,980.2033013399802,980.2033013399802,980.2033013399802,980.2033013399802,980.2033013399802,2023-06-16,0,0,0,0,0,0
,981.2504969948916,981.2504969948916,981.2504969948916,981.2504969948916,981.2504969948916,2023-06-19,0,0,0,0,0,0
,963.3978435029916,963.3978435029916,963.3978435029916,963.3978435029916,963.3978435029916,2023-06-20,0,0,0,0,0,0
,975.7151205634184,975.7151205634184,975.7151205634184,975.7151205634184,975.7151205634184,2023-06-21,0,0,0,0,0,0
,959.6577434905124,959.6577434905124,959.6577434905124,959.6577434905124,959.6577434905124,2023-06-22,0,0,0,0,0,0
,957.4635460788032,957.4635460788032,957.4635460788032,957.4635460788032,957.4635460788032,2023-06-23,0,0,0,0,0,0
,956.9648713775646,956.9648713775646,956.9648713775646,956.9648713775646,956.9648713775646,2023-06-26,0,0,0,0,0,0
,964.4450412674792,964.4450412674792,964.4450412674792,964.4450412674792,964.4450412674792,2023-06-27,0,0,0,0,0,0
,976.4132915500628,976.4132915500628,976.4132915500628,976.4132915500628,976.4132915500628,2023-06-28,0,0,0,0,0,0
,974.518252936658,974.518252936658,974.518252936658,974.518252936658,974.518252936658,2023-06-30,0,0,0,0,0,0
,987.3842168463996,987.3842168463996,987.3842168463996,987.3842168463996,987.3842168463996,2023-07-03,0,0,0,0,0,0
,979.5051583506634,979.5051583506634,979.5051583506634,979.5051583506634,979.5051583506634,2023-07-04,0,0,0,0,0,0
,966.4397446918044,966.4397446918044,966.4397446918044,966.4397446918044,966.4397446918044,2023-07-05,0,0,0,0,0,0
,958.4609136389416,958.4609136389416,958.4609136389416,958.4609136389416,958.4609136389416,2023-07-06,0,0,0,0,0,0
,974.6641831465856,974.6641831465856,974.6641831465856,974.6641831465856,974.6641831465856,2023-07-07,0,0,0,0,0,0
,975.1134848157154,975.1134848157154,975.1134848157154,975.1134848157154,975.1134848157154,2023-07-10,0,0,0,0,0,0
,966.3278064604592,966.3278064604592,966.3278064604592,966.3278064604592,966.3278064604592,2023-07-11,0,0,0,0,0,0
,955.1459155846112,955.1459155846112,955.1459155846112,955.1459155846112,955.1459155846112,2023-07-12,0,0,0,0,0,0
,954.7465495086188,954.7465495086188,954.7465495086188,954.7465495086188,954.7465495086188,2023-07-13,0,0,0,0,0,0
,962.8833651853292,962.8833651853292,962.8833651853292,962.8833651853292,962.8833651853292,2023-07-14,0,0,0,0,0,0
,958.4406173492556,958.4406173492556,958.4406173492556,958.4406173492556,958.4406173492556,2023-07-17,0,0,0,0,0,0
,962.434062841666,962.434062841666,962.434062841666,962.434062841666,962.434062841666,2023-07-18,0,0,0,0,0,0
,962.4340810493464,962.4340810493464,962.4340810493464,962.4340810493464,962.4340810493464,2023-07-19,0,0,0,0,0,0
,962.3342650400326,962.3342650400326,962.3342650400326,962.3342650400326,962.3342650400326,2023-07-20,0,0,0,0,0,0
,970.0216684491554,970.0216684491554,970.0216684491554,970.0216684491554,970.0216684491554,2023-07-21,0,0,0,0,0,0
,971.868719566255,971.868719566255,971.868719566255,971.868719566255,971.868719566255,2023-07-24,0,0,0,0,0,0
,976.061876288846,976.061876288846,976.061876288846,976.061876288846,976.061876288846,2023-07-25,0,0,0,0,0,0
,965.2794076024824,965.2794076024824,965.2794076024824,965.2794076024824,965.2794076024824,2023-07-26,0,0,0,0,0,0
,987.7428718400172,987.7428718400172,987.7428718400172,987.7428718400172,987.7428718400172,2023-07-27,0,0,0,0,0,0
,958.3407708775004,958.3407708775004,958.3407708775004,958.3407708775004,958.3407708775004,2023-07-28,0,0,0,0,0,0
,953.1492132082984,953.1492132082984,953.1492132082984,953.1492132082984,953.1492132082984,2023-07-31,0,0,0,0,0,0
,954.4470700773104,954.4470700773104,954.4470700773104,954.4470700773104,954.4470700773104,2023-08-01,0,0,0,0,0,0
,949.9543860919008,949.9543860919008,949.9543860919008,949.9543860919008,949.9543860919008,2023-08-02,0,0,0,0,0,0
,942.5663725667334,942.5663725667334,942.5663725667334,942.5663725667334,942.5663725667334,2023-08-03,0,0,0,0,0,0
,945.4617140197354,945.4617140197354,945.4617140197354,945.4617140197354,945.4617140197354,2023-08-04,0,0,0,0,0,0
,950.7031813527489,950.7031813527489,950.7031813527489,950.7031813527489,950.7031813527489,2023-08-07,0,0,0,0,0,0
,948.4568591177452,948.4568591177452,948.4568591177452,948.4568591177452,948.4568591177452,2023-08-08,0,0,0,0,0,0
,950.4535382401316,950.4535382401316,950.4535382401316,950.4535382401316,950.4535382401316,2023-08-09,0,0,0,0,0,0
,946.4601097989824,946.4601097989824,946.4601097989824,946.4601097989824,946.4601097989824,2023-08-10,0,0,0,0,0,0
,935.9771127935796,935.9771127935796,935.9771127935796,935.9771127935796,935.9771127935796,2023-08-11,0,0,0,0,0,0
,933.4811853346018,933.4811853346018,933.4811853346018,933.4811853346018,933.4811853346018,2023-08-14,0,0,0,0,0,0
,934.4296152490268,934.4296152490268,934.4296152490268,934.4296152490268,934.4296152490268,2023-08-16,0,0,0,0,0,0
,934.4296245222276,934.4296245222276,934.4296245222276,934.4296245222276,934.4296245222276,2023-08-17,0,0,0,0,0,0
,933.3314350729252,933.3314350729252,933.3314350729252,933.3314350729252,933.3314350729252,2023-08-18,0,0,0,0,0,0
,942.666232975574,942.666232975574,942.666232975574,942.666232975574,942.666232975574,2023-08-21,0,0,0,0,0,0
,952.3005472024148,952.3005472024148,952.3005472024148,952.3005472024148,952.3005472024148,2023-08-22,0,0,0,0,0,0
,960.4373227378256,960.4373227378256,960.4373227378256,960.4373227378256,960.4373227378256,2023-08-23,0,0,0,0,0,0
,983.2002673424388,983.2002673424388,983.2002673424388,983.2002673424388,983.2002673424388,2023-08-24,0,0,0,0,0,0
,972.4177974819816,972.4177974819816,972.4177974819816,972.4177974819816,972.4177974819816,2023-08-25,0,0,0,0,0,0
,978.5079223942116,978.5079223942116,978.5079223942116,978.5079223942116,978.5079223942116,2023-08-28,0,0,0,0,0,0
,988.5915631342556,988.5915631342556,988.5915631342556,988.5915631342556,988.5915631342556,2023-08-29,0,0,0,0,0,0
,981.4032174251884,981.4032174251884,981.4032174251884,981.4032174251884,981.4032174251884,2023-08-30,0,0,0,0,0,0
,980.2052069299484,980.2052069299484,980.2052069299484,980.2052069299484,980.2052069299484,2023-08-31,0,0,0,0,0,0
,972.6674663874048,972.6674663874048,972.6674663874048,972.6674663874048,972.6674663874048,2023-09-01,0,0,0,0,0,0
,992.135738179592,992.135738179592,992.135738179592,992.135738179592,992.135738179592,2023-09-04,0,0,0,0,0,0
,983.8492151605458,983.8492151605458,983.8492151605458,983.8492151605458,983.8492151605458,2023-09-05,0,0,0,0,0,0
,979.8557450584462,979.8557450584462,979.8557450584462,979.8557450584462,979.8557450584462,2023-09-06,0,0,0,0,0,0
,963.4823594503812,963.4823594503812,963.4823594503812,963.4823594503812,963.4823594503812,2023-09-07,0,0,0,0,0,0
,976.6110161977904,976.6110161977904,976.6110161977904,976.6110161977904,976.6110161977904,2023-09-08,0,0,0,0,0,0
,980.205140866197,980.205140866197,980.205140866197,980.205140866197,980.205140866197,2023-09-11,0,0,0,0,0,0
