Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,353.3294372558594,353.3294372558594,353.3294372558594,353.3294372558594,353.3294372558594,2025-04-08,0,0,0,0,0,0
,389.1347351074219,389.1347351074219,389.1347351074219,389.1347351074219,389.1347351074219,2025-04-09,0,0,0,0,0,0
,380.0264587402344,380.0264587402344,380.0264587402344,380.0264587402344,380.0264587402344,2025-04-10,0,0,0,0,0,0
,387.101806640625,387.101806640625,387.101806640625,387.101806640625,387.101806640625,2025-04-11,0,0,0,0,0,0
,386.4640197753906,386.4640197753906,386.4640197753906,386.4640197753906,386.4640197753906,2025-04-14,0,0,0,0,0,0
,384.3912658691406,384.3912658691406,384.3912658691406,384.3912658691406,384.3912658691406,2025-04-15,0,0,0,0,0,0
,370.32025146484375,370.32025146484375,370.32025146484375,370.32025146484375,370.32025146484375,2025-04-16,0,0,0,0,0,0
,366.5035400390625,366.5035400390625,366.5035400390625,366.5035400390625,366.5035400390625,2025-04-17,0,0,0,0,0,0
,357.87359619140625,357.87359619140625,357.87359619140625,357.87359619140625,357.87359619140625,2025-04-21,0,0,0,0,0,0
,365.5469055175781,365.5469055175781,365.5469055175781,365.5469055175781,365.5469055175781,2025-04-22,0,0,0,0,0,0
,373.0906372070313,373.0906372070313,373.0906372070313,373.0906372070313,373.0906372070313,2025-04-23,0,0,0,0,0,0
,385.9557800292969,385.9557800292969,385.9557800292969,385.9557800292969,385.9557800292969,2025-04-24,0,0,0,0,0,0
,390.4900207519531,390.4900207519531,390.4900207519531,390.4900207519531,390.4900207519531,2025-04-25,0,0,0,0,0,0
,389.8024291992188,389.8024291992188,389.8024291992188,389.8024291992188,389.8024291992188,2025-04-28,0,0,0,0,0,0
,392.6724243164063,392.6724243164063,392.6724243164063,392.6724243164063,392.6724243164063,2025-04-29,0,0,0,0,0,0
,393.88818359375,393.88818359375,393.88818359375,393.88818359375,393.88818359375,2025-04-30,0,0,0,0,0,0
,423.9235534667969,423.9235534667969,423.9235534667969,423.9235534667969,423.9235534667969,2025-05-01,0,0,0,0,0,0
,433.769287109375,433.769287109375,433.769287109375,433.769287109375,433.769287109375,2025-05-02,0,0,0,0,0,0
,434.65618896484375,434.65618896484375,434.65618896484375,434.65618896484375,434.65618896484375,2025-05-05,0,0,0,0,0,0
,431.8061218261719,431.8061218261719,431.8061218261719,431.8061218261719,431.8061218261719,2025-05-06,0,0,0,0,0,0
,431.8459777832031,431.8459777832031,431.8459777832031,431.8459777832031,431.8459777832031,2025-05-07,0,0,0,0,0,0
,436.6492614746094,436.6492614746094,436.6492614746094,436.6492614746094,436.6492614746094,2025-05-08,0,0,0,0,0,0
,437.2073059082031,437.2073059082031,437.2073059082031,437.2073059082031,437.2073059082031,2025-05-09,0,0,0,0,0,0
,447.7007751464844,447.7007751464844,447.7007751464844,447.7007751464844,447.7007751464844,2025-05-12,0,0,0,0,0,0
,447.5812072753906,447.5812072753906,447.5812072753906,447.5812072753906,447.5812072753906,2025-05-13,0,0,0,0,0,0
,451.3679809570313,451.3679809570313,451.3679809570313,451.3679809570313,451.3679809570313,2025-05-14,0,0,0,0,0,0
